Country,Code,Region,1990_ghg,1991_ghg,1992_ghg,1993_ghg,1994_ghg,1995_ghg,1996_ghg,1997_ghg,1998_ghg,1999_ghg,2000_ghg,2001_ghg,2002_ghg,2003_ghg,2004_ghg,2005_ghg,2006_ghg,2007_ghg,2008_ghg,2009_ghg,2010_ghg,2011_ghg,2012_ghg,2013_ghg,2014_ghg,2015_ghg,2016_ghg,2017_ghg,2018_ghg,2019_ghg,2020_ghg,1990_gdp,1991_gdp,1992_gdp,1993_gdp,1994_gdp,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp,2020_gdp,Status
Colombia,COL,SouthAmerica,101878.75,104424.76,109571.27,111662.29,113044.86,115599.56,117221.56,123168.8,123130.08,117878.85,120643.72,119766.76,120091.27,124665.55,127551.86,132469.34,136731.4,139037.59,140123.04,145672.9,155060.42,154098.61,157725.86,162655.74,165839.29,170637.07,175628.86,171035.5,180727.24,180727.24,180727.24,47844090709.9908,49175565911.0655,58418985443.3172,66446804802.5747,81703500846.0364,92507279383.0387,97160109277.8087,106659508271.255,98443739941.1664,86186158684.7685,99886577330.7271,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145619191582.062,161618581266.316,206181826825.281,242186950900.775,232397835678.336,286563105192.457,334943871931.746,370921320483.842,382116126448.555,381112119657.446,293481748240.779,282825009887.458,311883730690.129,334198214706.209,323429888934.257,271437596293.843,Developing
Costa Rica,CRI,CentralAmerica,8196.56,8056.64,8797.32,8892.5,9622.28,9693.6,9562.84,9272.53,9811.83,9951.7,9945.75,10292.0,10518.51,10892.97,10924.16,11196.01,11817.56,12678.7,12709.38,12534.57,12895.96,13284.87,13405.56,13735.74,13850.14,13603.64,14234.46,14477.6,14477.6,14477.6,14477.6,5711687786.75989,7196276092.46876,8564044016.95735,9582866263.46284,10486784804.7265,11578594260.0813,11678424507.3634,12614602382.3564,13684255946.6922,14254866281.0572,15013629658.5671,15976174337.0471,16578820687.2209,17271760507.042,18610594846.3082,20040642476.8988,22715540324.3149,26884700345.1044,30801744881.0236,30745712006.5238,37658614803.2919,42762617081.6142,47231651862.8224,50949672205.8222,52016408950.8398,56441917653.0156,58847016044.8244,60516043590.1924,62420165099.7301,64072870931.603,61846895120.7808,Developing
Croatia,HRV,SouthernEurope,31454.18,24818.23,22932.57,22930.42,22015.02,22686.43,23180.05,24543.05,24667.91,25955.21,25653.65,26840.69,27906.89,29369.44,29386.45,29876.44,30283.88,31720.87,30767.54,28577.64,28171.06,27868.67,26113.1,24890.09,24157.18,24611.05,24833.94,25709.31,24600.99,24799.39,23906.82,22717081924.7143,22717081924.7143,22717081924.7143,22717081924.7143,22717081924.7143,22717081924.7143,24075166261.3779,24091170702.5562,25792876643.5087,23677307509.4663,21839780971.0268,23273640257.1968,27074550257.8118,34985749883.4171,41958833541.0995,45780237257.1867,50860788253.2176,60542673502.5324,70750646248.0563,63084004705.0807,60426018629.2992,63169910822.1285,57192346923.335,58889082315.336,58330289756.6914,50163192883.1515,52295158344.2544,56214427431.2,62247874948.8225,62246206340.5469,57203783203.0259,Developed
Cyprus,CYP,WesternAsia,5571.73,6076.35,6513.67,6800.58,7057.37,6972.18,7345.03,7439.03,7754.9,8032.29,8306.44,8247.75,8482.31,8874.12,9077.63,9222.44,9470.49,9803.65,10025.4,9789.98,9455.87,9158.46,8624.68,7920.23,8294.92,8343.27,8790.12,8966.07,8821.2,8891.62,8502.86,5591130217.66965,5770197348.48485,6912150456.32334,6590291048.29211,7425703928.57143,9933133247.08926,10011918444.1656,9547818700.11403,10248617647.0588,10497908306.3646,9985844486.33365,10397897085.6102,11420227884.6154,14547325028.3126,17320552500.0,18433411267.2553,20072786350.5206,23968764029.5647,27844698989.3072,25945391775.4932,25732432719.0773,27565469097.9955,24978513426.6992,23900872625.8467,23156850006.6427,19842404304.8929,20953442550.3653,22870833709.8961,25522671232.8767,25758357774.5438,24612646487.7213,Developed
Czech Republic,CZE,EasternEurope,198775.27,180859.67,175034.85,168323.67,159410.64,158371.95,161709.65,157200.37,151034.59,141062.01,151139.21,150760.15,146965.75,150152.89,151009.99,148934.99,150166.77,151829.89,146768.59,137280.29,140167.57,138568.0,134610.18,129251.71,127080.04,128506.45,130106.97,130951.94,129180.06,123451.26,113072.05,40728950704.6176,29859921158.8696,34805013229.572,40866748705.1075,47850203856.1751,60147174076.8651,67387788632.9812,62180159376.1239,66807429711.411,65173130995.2212,61828166496.0941,67808032979.5429,82196001050.7474,100090467581.268,119814434353.575,137143471328.274,156264095664.643,190183800884.018,236816485762.988,207434296805.33,209069940963.177,229562733398.948,208857719320.649,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,248950103352.137,252498032247.163,245339322066.759,Developed
Denmark,DNK,NorthernEurope,71820.94,82433.0,76517.58,78670.86,82598.77,79748.73,92928.69,83411.41,79455.94,76824.89,72662.45,74398.11,73871.15,79006.62,73060.07,68748.18,76500.41,71880.27,68291.35,65544.86,65857.45,60652.62,56058.81,57779.39,53608.9,50834.62,52906.15,50773.91,50726.02,46941.67,44483.8,138247285815.855,139224688814.195,152915654478.885,143195627014.605,156162386724.523,185006881515.065,187632346387.984,173537647058.824,176991934992.837,177965188354.692,164158739097.623,164791442543.375,178635163717.431,218096033517.009,251373002954.382,264467336457.17,282884947702.966,319423424509.066,353361038818.383,321241303699.006,321995279401.502,344003137611.271,327148943812.137,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,347561349210.979,356084867685.639,Developed
Estonia,EST,NorthernEurope,40276.36,37402.71,27215.51,21751.65,22225.02,20063.92,21007.74,20719.25,18992.04,17829.24,17453.34,17888.0,17300.08,19233.28,19362.26,19140.62,18490.05,22046.44,19941.84,16508.26,21111.6,21079.73,19962.93,21865.08,21040.76,17972.59,19603.13,20896.11,20030.1,14537.85,11407.08,4502970889.06373,4502970889.06373,4502970889.06373,4502970889.06373,4502970889.06373,4502970889.06373,4786018988.16491,5154420649.23354,5674080542.88575,5756912265.75809,5686579747.53524,6254649538.98487,7367975887.72723,9874013098.46432,12145911801.2422,14106790200.2239,17022870405.2189,22449129482.617,24341678628.9732,19633031397.6104,19523477325.6235,23183616045.5168,23020466784.6112,25108615091.9884,26598657880.5486,22881558191.8523,24056487770.898,26857880621.935,30474612057.4484,31045591753.4901,30650285471.7215,Developing
Finland,FIN,NorthernEurope,71087.75,69041.45,67681.54,69915.16,75492.41,71743.59,77729.56,76409.31,72727.18,72048.01,70136.61,75474.78,77885.71,85490.37,81739.43,69704.7,81112.61,79441.35,71310.29,67693.58,75555.95,67815.56,62255.53,62700.93,58519.68,55009.24,57833.2,55030.87,55949.66,52726.08,47756.28,141438345513.917,127773856785.767,112532519246.084,89214114708.0254,103299943084.804,134189814814.815,132129174216.93,126912152101.707,134038718291.055,135218410398.466,125706651925.557,129421029082.774,139738377564.465,171274266365.688,197116960516.514,204809103345.355,216907539831.891,256052559540.104,284553976856.599,252496526813.004,249181190476.369,275243697751.011,258304834621.605,271285280621.373,274497230802.958,234440080998.273,240607907010.383,255016517537.983,275580448365.235,268508200125.49,269594831987.549,Developing
France,FRA,WesternEurope,540830.69,566897.43,557279.94,536244.46,528083.8,534172.16,552521.6,544943.58,559284.26,554358.77,548714.51,554283.26,548271.48,552609.45,552209.06,553899.48,543309.93,533554.38,528088.16,506882.1,511152.92,486264.33,488200.25,487905.8,456751.02,460283.69,462641.64,465262.15,447070.01,437646.63,398297.03,1269179616913.63,1269276828275.78,1401465923172.24,1322815612694.0,1393982750472.59,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1492647560196.04,1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.6,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2588740901639.81,2789593979064.58,2728870246705.88,2630317731455.26,Developing
Germany,DEU,WesternEurope,1251224.78,1205064.58,1155625.64,1146306.67,1127792.57,1120660.81,1137868.95,1102187.36,1077604.05,1043180.83,1040191.83,1054869.07,1033037.86,1029390.01,1010291.14,984986.97,991897.36,964865.06,964974.32,898336.01,932379.13,907502.16,913347.73,933505.37,893394.42,896657.87,898559.81,881582.78,846171.19,794633.67,730922.69,1771671206875.68,1868945197407.19,2131571696931.75,2071323790370.28,2205074123177.05,2585792275146.72,2497244606186.64,2211989623279.95,2238990774702.68,2194204133816.32,1943145384190.16,1944107382550.34,2068624129493.69,2496128668171.56,2809187981127.39,2845802760850.64,2992196713084.93,3421229126745.14,3730027830672.33,3397791053070.3,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3356235704119.75,3467498002104.33,3681732583768.5,3975347237442.99,3888326788627.44,3846413928653.71,Developed
Greece,GRC,SouthernEurope,103985.69,104006.31,105287.66,104828.03,107457.58,109581.12,112615.84,117470.46,122993.73,122985.87,126659.45,127731.03,127719.17,131569.0,132215.07,136748.14,133270.71,135855.39,132481.94,125261.39,119159.95,116179.12,112923.95,103262.34,99837.26,95965.29,92274.52,96110.32,92857.12,86153.27,75464.49,97891092003.4394,105143232379.884,116224672863.783,108809059155.767,116601801966.292,136878365936.167,145861612400.906,143157600149.757,144428172489.335,142540728744.939,130133845586.88,136191353914.989,153830946734.425,201924269751.693,240521261484.976,247783002114.165,273317736795.885,318497937311.799,354460802695.181,330000251458.739,296835346570.223,282625610892.477,242043151399.458,238839788899.338,235144949470.797,195604846736.019,193017030649.7,199350781053.185,211945897765.431,205144152830.847,188835201625.91,Developing
Hungary,HUN,EasternEurope,94985.02,88674.84,78847.28,79865.04,78750.64,77647.68,79804.3,78308.29,77784.49,78248.03,75378.31,77184.98,75478.63,78367.7,77192.05,76954.88,75660.29,74010.83,71954.6,65924.48,66533.79,64870.17,61557.12,58661.11,58993.14,62201.09,62696.22,65072.76,65033.64,64771.79,62965.32,34753569692.915,34753569692.915,38730585922.2189,40124916940.5945,43166678735.2183,46425677734.1435,46658755151.6017,47296952928.7561,48706787306.2574,49073380173.7159,47218405892.4258,53749989092.0197,67608919144.3684,85302003908.042,104141042625.791,113236711635.539,115751266695.185,140227560615.121,158374419641.016,131114229049.178,132231134158.608,141999960209.893,128857370476.631,135732595721.853,141078984816.675,125210324613.14,128636108315.474,143136245596.988,160586833778.457,163526491433.29,155808436238.487,Developed
Iceland,ISL,NorthernEurope,3682.04,3475.79,3409.12,3496.42,3424.41,3554.69,3615.81,3774.47,3907.36,4123.13,4154.23,4049.73,4143.91,4106.87,4210.92,4059.34,4619.42,4924.32,5307.8,5001.5,4906.35,4692.25,4686.9,4694.67,4687.52,4772.71,4715.54,4799.7,4870.41,4723.9,4521.06,6468736286.92707,6909730237.31997,7080981668.54633,6218581472.47468,6389460285.59828,7123633356.36565,7426081278.19549,7569666973.65322,8503693098.62271,8982047589.4895,9025660361.75842,8234846804.60582,9318395054.85934,11429333037.8443,13825302535.7699,16852963067.0496,17465318552.2941,21652505596.7528,18074622987.0185,13154414219.207,13751161917.7398,15221622925.9319,14751508133.5443,16125060515.3117,17867662177.8911,17517210519.0912,20793168030.9524,24728285177.4603,26267063757.5495,24857740445.0401,21718075725.2054,Developed
India,IND,SouthernAsia,1214248.0,1214248.0,1214248.0,1214248.0,1214248.0,1265834.4266666668,1317420.8533333333,1369007.28,1420593.7066666668,1472180.1333333333,1523766.56,1585072.514,1646378.468,1707684.422,1768990.3760000002,1830296.33,1891602.284,1952908.2380000001,2014214.192,2075520.1460000002,2136826.1,2253925.908333333,2371025.716666667,2488125.5250000004,2605225.3333333335,2722325.1416666666,2839424.95,2839424.95,2839424.95,2839424.95,2839424.95,320979026419.633,270105341879.226,288208430383.964,279296022987.919,327275583539.559,360281952716.797,392897054348.071,415867753863.874,421351477504.743,458820417337.807,468394937262.37,485441014538.638,514937948870.08,607699285433.872,709148514804.659,820381595512.902,940259888792.141,1216735441524.86,1198895582137.51,1341886602798.69,1675615335600.56,1823049927771.46,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75,2294797980509.01,2651472946374.91,2701111782775.03,2870504096717.77,2660245248867.63,Developing
Indonesia,IDN,South-easternAsia,266818.39,292610.4,306828.59,318657.49,334191.21,370881.5883333334,407571.9666666667,444262.345,480952.7233333333,517643.1016666667,554333.48,537949.0,545911.0,559139.0,583101.0,590736.0,610242.0,607947.0,629710.0,628562.0,685711.0,726262.0,757250.0,796579.0,864948.0,907334.0,883224.0,883224.0,883224.0,883224.0,883224.0,106140727357.032,116621996217.133,128026966579.964,158006700301.533,176892143931.505,202132028723.115,227369679374.973,215748998609.635,95445547872.715,140001351215.462,165021012077.81,160446947784.909,195660611165.183,234772463823.808,256836875295.452,285868618224.017,364570514304.85,432216737774.861,510228634992.258,539580085612.401,755094160363.071,892969107923.094,917869910105.749,912524136718.018,890814755233.225,860854235065.079,931877364177.742,1015618742565.81,1042271531011.99,1119091259074.62,1058423838345.14,Developing
Iran,IRN,SouthernAsia,385433.3,385433.3,385433.3,385433.3,385433.3,401805.945,418178.58999999997,434551.235,450923.88,467296.52499999997,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,483669.17,124813263926.225,104456717028.154,84100170130.08301,63743623232.012,71841461172.5964,96419225743.6737,120403931885.441,113919163421.155,110276913362.508,113848450088.351,109591707802.216,126878750295.944,128626917503.72,153544751395.43,190043433964.841,226452138291.542,266298911661.144,349881601458.56,412336172446.849,416397025729.361,486807615326.147,580764902917.439,598868460912.847,460293149324.326,432687036177.818,384951479697.42,417983583565.54,445345256459.105,294356680624.658,258245497664.394,203471303952.344,Developing
Ireland,IRL,NorthernEurope,55642.84,56553.46,56589.56,57186.83,58593.62,60080.66,62245.17,63683.62,66292.46,67523.41,69712.38,71814.45,69975.2,70468.5,69723.02,71531.48,71019.46,69874.87,69330.44,63528.26,63032.16,58852.53,59939.51,59711.61,59220.74,61724.03,64005.36,63424.53,63734.11,61165.04,59056.3,49305632408.4929,49787501584.4847,55918538121.3989,52417477613.676,57097656065.96,69139823232.3232,75790786290.3226,82856648758.3572,90199410115.5097,98860565736.2029,99958806891.4686,109252057270.694,127985972143.798,164307961625.282,194015335237.149,211797991543.34,231986253920.462,269736375581.714,274326912260.144,235509465129.203,221659742984.75,238662833333.918,225509709550.982,238211547205.677,258625192663.58,291462799328.949,298725229419.215,334602299873.029,384853685231.018,399122063504.148,425888950992.003,Developed
Israel,ISR,WesternAsia,57653.0,57653.0,57653.0,57653.0,57653.0,57653.0,57653.0,60030.46525,62407.9305,64785.39575,67162.861,67879.41666666667,68595.97233333334,69312.528,69588.859,70182.445,71559.941,74738.488,76143.135,72457.544,75241.032,77722.493,83374.955,77818.169,75535.869,78734.181,78619.091,77831.1,78286.029,79171.399,77674.844,100605702520.506,100605702520.506,100605702520.506,100605702520.506,100605702520.506,100605702520.506,110180666416.017,114753492201.542,115999082655.72,117166318090.683,132455662080.298,130816321183.156,121148475241.673,127046633802.508,135571348058.902,142657069099.984,154145495309.484,179161786957.474,216711549609.81,207953439208.606,234654589559.973,262293871093.061,258417104163.53,294167366504.266,310944937638.436,300078278118.434,319024417316.889,355277223507.485,373641241440.789,397934596952.56,407100736594.064,Developing
Italy,ITA,SouthernEurope,521480.34,522696.67,521991.35,515159.96,509371.39,535653.71,530375.91,538111.37,550585.99,556140.38,559978.14,561839.95,567753.08,587247.89,592903.42,594197.38,584053.07,578814.48,566242.97,511654.99,523465.7,510854.61,491949.91,456475.72,435399.33,445735.65,442962.28,437340.98,433630.91,422276.17,384969.88,1181222653522.95,1246220156079.29,1320161644933.23,1064958075550.63,1099216688280.5,1174662070605.02,1312426527795.21,1241879604365.62,1270052525928.4,1252023758789.69,1143829832319.88,1167012796420.58,1270712309429.7,1574145823927.77,1803226967966.23,1857524312896.41,1947919708944.93,2210292636189.43,2398856598798.89,2191241872742.43,2134017843247.16,2291991045770.29,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04,1875797463583.87,1956950469673.29,2090910879119.33,2009383867307.45,1888709443687.48,Developed
Japan,JPN,EasternAsia,1269334.03,1283796.29,1295612.02,1291392.14,1352429.76,1373818.25,1386747.6,1378810.24,1330304.19,1353662.4,1373303.42,1347561.43,1371613.88,1378452.03,1369829.3,1377463.88,1356080.25,1391300.26,1318507.42,1246549.62,1300046.75,1350741.14,1393594.16,1405350.42,1356511.02,1317836.2,1300146.77,1286736.26,1242715.71,1207742.42,1144932.5,3132817652848.04,3584420077100.84,3908809463463.86,4454143876947.21,4998797547740.97,5545563663889.7,4923391533851.63,4492448605638.94,4098362709531.24,4635982224063.88,4968359075956.59,4374711694090.87,4182846045873.61,4519561645253.53,4893116005656.56,4831467035389.8,4601663122649.92,4579750920354.81,5106679115127.3,5289493117993.89,5759071769013.11,6233147172341.35,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5036891740656.35,5148781948478.17,5057758958706.64,Developed
Kazakhstan,KAZ,CentralAsia,386682.79,374535.98,351663.68,318608.87,273342.82,260567.69,247873.01,244367.64,252975.04,224661.18,260434.12,247386.51,263995.37,278029.52,282922.77,287466.39,301694.79,303873.68,300707.92,294889.26,315855.51,306112.27,311685.57,320869.54,342321.12,346827.11,346787.34,366656.8,383836.57,352690.65,333970.96,26932729102.7371,24923076923.0769,24917355371.9008,23409260879.9427,21250792886.1054,20374302652.3819,21035368250.8881,22165932062.966,22135254836.0031,16870821839.7584,18291994909.0044,22152694161.8882,24636593223.3467,30833699702.7594,43151647002.6096,57123671733.8952,81003884545.4099,104849886825.584,133441612246.798,115308661142.927,148047348240.643,192626507971.584,207998568865.789,236634552078.102,221415572819.5,184388432148.715,137278320084.171,166805800595.704,179339994859.384,181667190075.541,171082379532.988,Developing
